Bifidobacterium longum,02
Bifidobacterium longum,03
Bifidobacterium longum,04
Bifidobacterium longum,05
Bifidobacterium longum,06
Bifidobacterium longum,09
Bifidobacterium longum,12
Bifidobacterium longum,379
Bifidobacterium longum,35624
Bifidobacterium longum,105-A
Bifidobacterium longum,1886B
Bifidobacterium longum,1890B
Bifidobacterium longum,1897B
Bifidobacterium longum,1898B
Bifidobacterium longum,AGR2137
Bifidobacterium longum,BG7
Bifidobacterium longum,BXY01
Bifidobacterium longum,CMW7750
Bifidobacterium longum,D2957
Bifidobacterium longum,DJO10A
Bifidobacterium longum,DSM 20219
Bifidobacterium longum,E18
Bifidobacterium longum,NCC2705
Bifidobacterium longum,PC1
Bifidobacterium longum,PC4
Bifidobacterium longum,S1
Bifidobacterium longum,Su859
Bifidobacterium longum subsp. infantis,ATCC 15697T
Bifidobacterium longum subsp. infantis,157F
Bifidobacterium longum subsp. infantis,1888B
Bifidobacterium longum subsp. infantis,BIB1401242951
Bifidobacterium longum subsp. infantis,BIB1401272845a
Bifidobacterium longum subsp. infantis,BIB1401272845b
Bifidobacterium longum subsp. infantis,BIC1206122787
Bifidobacterium longum subsp. infantis,BIC1307292462
Bifidobacterium longum subsp. infantis,BIC1401111250
Bifidobacterium longum subsp. infantis,BIC1401212621a
Bifidobacterium longum subsp. infantis,BIC1401212621b
Bifidobacterium longum subsp. infantis,BT1
Bifidobacterium longum subsp. infantis,CCUG 52486
Bifidobacterium longum subsp. infantis,CECT 7210
Bifidobacterium longum subsp. infantis,EK3
Bifidobacterium longum subsp. infantis,IN-07
Bifidobacterium longum subsp. infantis,IN-F29
Bifidobacterium longum subsp. infantis,TPY12-1
Bifidobacterium longum subsp. longum,LMG 13197T
Bifidobacterium longum subsp. longum,7
Bifidobacterium longum subsp. longum,9
Bifidobacterium longum subsp. longum,1-5B
Bifidobacterium longum subsp. longum,1-6B
Bifidobacterium longum subsp. longum,17-1B
Bifidobacterium longum subsp. longum,2-2B
Bifidobacterium longum subsp. longum,296B
Bifidobacterium longum subsp. longum,35B
Bifidobacterium longum subsp. longum,44B
Bifidobacterium longum subsp. longum,7-1B
Bifidobacterium longum subsp. longum,72B
Bifidobacterium longum subsp. longum,AH1206
Bifidobacterium longum subsp. longum,ATCC 55813
Bifidobacterium longum subsp. longum,BBMN68
Bifidobacterium longum subsp. longum,BLOI2
Bifidobacterium longum subsp. longum,CCUG30698
Bifidobacterium longum subsp. longum,CECT 7347
Bifidobacterium longum subsp. longum,CMCC P0001
Bifidobacterium longum subsp. longum,EK13
Bifidobacterium longum subsp. longum,EK5
Bifidobacterium longum subsp. longum,F8
Bifidobacterium longum subsp. longum,GT15
Bifidobacterium longum subsp. longum,JDM301
Bifidobacterium longum subsp. longum,KACC 91563
Bifidobacterium longum subsp. longum,LO-06
Bifidobacterium longum subsp. longum,LO-10
